"id","roleName","createdAt","updatedAt","title"
"057f55d4-bc88-491c-8474-82a23f21253a","CLIENTCOORDINATOR","2023-02-20 07:58:56.806+00","2023-02-20 07:58:56.806+00","Client Coordinator"
"4ea69282-9983-4d39-8bb3-42e86fa2b8e9","SUBVENDOR","2023-06-09 13:17:17.556+00","2023-06-09 13:17:17.556+00","Sub Vendor"
"6fae5bb1-43fe-4285-b2b5-f298422ae2fa","ADMIN","2023-02-20 07:58:34.739+00","2023-02-20 07:58:34.739+00","Admin"
"8f05af24-fbaf-4286-986b-8736091b8602","RECRUITER","2023-02-20 07:58:44.008+00","2023-02-20 07:58:44.008+00","Recruiter"
"c2a97823-465c-4c4b-90da-a7a48172106d","SUPERADMIN","2023-02-20 07:57:48.183+00","2023-02-20 07:57:48.183+00","Super Admin"
"e05a05de-1e02-454c-8346-da3f988b04be","FREELANCER","2023-06-09 13:17:25.596+00","2023-06-09 13:17:25.596+00","Freelancer"
