"id","title","description","createdAt","updatedAt"
"2d4fd8ea-aaa7-4c61-b4ed-7a2d5b86ae90","BlueCollar ","Electrician, plumber, Delivery people etc.","2023-06-20 14:33:09.547+00","2023-06-20 14:33:09.547+00"
"65d66f02-03e9-4a17-8026-ae4bb17af419","Gold","Collar (Lawyers, Doctors, Research Scientist)","2023-06-20 14:35:02.919+00","2023-06-20 14:35:02.919+00"
"831ce8d8-db76-40f4-9a00-cd69da24c482","Pink","Collar ( nurses, secretaries,elementary school teachers etc., )","2023-06-20 14:34:19.376+00","2023-06-20 14:34:19.376+00"
"84bc6609-fe09-4e12-9027-20c0db2c8166","New","Collar (cybersecurity analysts, application developers,cloud computing specialists etc.,)","2023-06-20 14:35:22.874+00","2023-06-20 14:35:22.874+00"
"86efab8f-b619-424d-a290-fed62e78427e","Green","Collar (Land surveyor,Ecologist,Solar installer etc.,","2023-06-20 14:34:39.688+00","2023-06-20 14:34:39.688+00"
"8bc0a177-7ee2-45e8-aff8-7cf9ec15b108","White "," Collar (Tech Jobs)","2023-06-20 14:33:59.978+00","2023-06-20 14:33:59.978+00"
